"","TIER_ID","ANNOTATION_ID","VALUE","t0.id","t0","t1.id","t1"
"1","A_phrase-segnum-es","ann2_flexid_3298e52a-f080-45f6-99cd-49fb7fb92b5d","1","ts2",88925,"ts3",92295
"2","A_phrase-segnum-es","ann43_flexid_8917b95a-aa84-4df9-91da-aacd14870692","2","ts4",94335,"ts5",95625
"3","A_phrase-segnum-es","ann65_flexid_c0ccf440-e0b1-4dca-8c70-b74fd10b8d70","3","ts6",96511,"ts7",97793
"4","A_phrase-segnum-es","ann84_flexid_9ab057b1-8095-45ad-b736-1b8b07766892","4","ts8",98858,"ts9",101714
"5","A_phrase-segnum-es","ann99_flexid_7fff1064-dd90-4ba2-94f4-072d2ed0191a","5","ts10",102814,"ts11",105436
"6","A_phrase-segnum-es","ann135_flexid_21f8069e-9521-403b-8bd1-cc3a1b65f4ad","6","ts12",108093,"ts13",111143
"7","A_phrase-segnum-es","ann172_flexid_a5b0d9e6-7a8a-4f07-a9d2-21b736cc1d08","8","ts15",111847,"ts17",112872
"8","A_phrase-segnum-es","ann188_flexid_6317f645-6f1a-4443-befd-2bf5a6caef8d","9","ts18",116776,"ts19",120744
"9","A_phrase-segnum-es","ann220_flexid_ab41e2fe-a384-49ff-88b2-833879c36dfd","10","ts20",121587,"ts21",124466
"10","A_phrase-segnum-es","ann248_flexid_44cf28ea-aad9-4ec2-8a07-f945fa467c61","11","ts22",128691,"ts23",129716
"11","A_phrase-segnum-es","ann279_flexid_3a40110e-54ae-46a7-9d2d-7dd57522ff0e","13","ts26",134947,"ts27",139566
"12","A_phrase-segnum-es","ann340_flexid_4e746f94-76df-45c8-8678-148c6aed2cca","15","ts29",140646,"ts31",144129
"13","A_phrase-segnum-es","ann499_flexid_fd5b520c-08f5-4fe5-ad2b-27da1fd74e9c","19","ts38",160980,"ts39",163353
"14","A_phrase-segnum-es","ann530_flexid_0582a6d4-35b5-4b6a-8d89-f69a1b9793d4","20","ts40",164240,"ts41",165410
"15","A_phrase-segnum-es","ann541_flexid_36e8e0e9-005a-4d17-9bb7-a752a4252c3f","21","ts42",171727,"ts43",172854
"16","A_phrase-segnum-es","ann573_flexid_bc908071-0cf3-434a-8943-87da3f00e5ba","23","ts46",179846,"ts47",181998
"17","A_phrase-segnum-es","ann595_flexid_d19aa8da-70a0-493f-803e-ce0cfb55fc31","24","ts48",199663,"ts49",201468
"18","A_phrase-segnum-es","ann634_flexid_903428b8-d78a-48ef-b2c7-a6ebd1688f4e","25","ts50",206061,"ts51",208213
"19","A_phrase-segnum-es","ann655_flexid_e13d0c41-f1e5-4d21-aab3-451573a530e0","26","ts52",210701,"ts53",213676
"20","A_phrase-segnum-es","ann682_flexid_2a07d31b-0c8b-4005-80d8-871406a7deb2","27","ts54",218158,"ts55",220845
"21","A_phrase-segnum-es","ann726_flexid_1bb4ae8b-1839-4758-bf7c-dcfa3bb87152","28","ts56",221750,"ts57",225004
"22","A_phrase-segnum-es","ann755_flexid_e17a0778-a7da-4050-8c83-9a630eebd9d7","29","ts58",235991,"ts59",242195
"23","A_phrase-segnum-es","ann789_flexid_63d72c64-e0b3-46bb-8a13-9243141fad9b","30","ts60",242600,"ts61",248196
"24","A_phrase-segnum-es","ann850_flexid_44b0615d-5c85-43de-a42d-23a1866b8b41","31","ts62",249427,"ts63",252860
"25","A_phrase-segnum-es","ann908_flexid_b045fdd4-3613-4c1e-9c19-8a8d2c116f3b","33","ts65",254486,"ts67",255444
"26","A_phrase-segnum-es","ann923_flexid_48550116-2520-455a-a4c3-f161fc7878dd","34","ts68",259382,"ts69",260520
"27","A_phrase-segnum-es","ann945_flexid_9db3086a-ddd7-4b86-8912-7e94ffb6b03a","35","ts70",262019,"ts71",265138
"28","A_phrase-segnum-es","ann1068_flexid_80cd1ca3-433a-42ad-a65e-0bcaa22af619","38","ts76",275493,"ts77",279298
"29","A_phrase-segnum-es","ann1135_flexid_5cf2a025-9c1d-46d6-81c3-de1a8a4518f8","39","ts78",281451,"ts79",282933
"30","A_phrase-segnum-es","ann1158_flexid_ef690a5f-c1f9-4f68-b6f9-20ad2611bbd0","40","ts80",284974,"ts81",287093
"31","A_phrase-segnum-es","ann1188_flexid_3cc67349-0af3-4aff-8bb3-64b277d080ae","41","ts82",288402,"ts83",290571
"32","A_phrase-segnum-es","ann1223_flexid_df5c81e3-a2bc-48aa-8884-46a1b77eea2f","42","ts84",295702,"ts85",296930
"33","A_phrase-segnum-es","ann1338_flexid_86020f6b-e39f-4fc9-8b45-924a8cd695a1","47","ts94",331315,"ts95",334123
"34","A_phrase-segnum-es","ann1369_flexid_3cb1707e-9500-4cff-9ea6-852905490756","48","ts96",335532,"ts97",338279
"35","A_phrase-segnum-es","ann1407_flexid_6f2e290d-e0a2-4c84-a058-59ae8a55d9db","49","ts98",339721,"ts99",343554
"36","A_phrase-segnum-es","ann1457_flexid_feeda2ac-25c6-42b2-bb36-768c72542d0f","51","ts102",347488,"ts103",351191
"37","A_phrase-segnum-es","ann1492_flexid_d4d2e333-da2a-4b08-9dc3-1c8cd95d590b","52","ts104",359785,"ts105",364797
"38","A_phrase-segnum-es","ann1664_flexid_3fbd9d74-8d83-42c5-a70b-6cd74563c758","58","ts116",386382,"ts117",390116
"39","A_phrase-segnum-es","ann1700_flexid_09d5f94f-4a85-411b-abe1-e545b8e68108","59","ts118",390710,"ts119",392210
"40","A_phrase-segnum-es","ann1723_flexid_b9a7cf81-ac9e-4c0b-a60c-a30d4b8e0bb2","60","ts120",394032,"ts121",396543
