"","TIER_ID","ANNOTATION_ID","ANNOTATION_REF","VALUE","PREVIOUS_ANNOTATION","EXT_REF"
"1","A_morph-cf-es","ann10","ann8_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","joda",NA,NA
"2","A_morph-cf-es","ann15","ann13_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA
"3","A_morph-cf-es","ann20","ann18_flexid_a23b6faa-1052-4f4d-984b-4b338bdaf95f","Pama sola",NA,NA
"4","A_morph-cf-es","ann24","ann22_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-o",NA,NA
"5","A_morph-cf-es","ann30","ann28_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","yama",NA,NA
"6","A_morph-cf-es","ann35","ann33_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ba",NA,NA
"7","A_morph-cf-es","ann40","ann38_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-iki",NA,NA
"8","A_morph-cf-es","ann52","ann50_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ezoe",NA,NA
"9","A_morph-cf-es","ann57","ann55_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","masha",NA,NA
"10","A_morph-cf-es","ann63","ann61_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","tsio",NA,NA
"11","A_morph-cf-es","ann73","ann71_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","nawí",NA,NA
"12","A_morph-cf-es","ann77","ann75_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ana",NA,NA
"13","A_morph-cf-es","ann82","ann80_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","tsio",NA,NA
"14","A_morph-cf-es","ann92","ann90_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA
"15","A_morph-cf-es","ann97","ann95_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ainimetsio",NA,NA
"16","A_morph-cf-es","ann108","ann106_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ena",NA,NA
"17","A_morph-cf-es","ann113","ann111_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","moa",NA,NA
"18","A_morph-cf-es","ann119","ann117_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","e-",NA,NA
"19","A_morph-cf-es","ann123","ann121_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","po",NA,NA
"20","A_morph-cf-es","ann129","ann127_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","ena-",NA,NA
"21","A_morph-cf-es","ann133","ann131_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","doeteo",NA,NA
"22","A_morph-cf-es","ann143","ann141_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","pona",NA,NA
"23","A_morph-cf-es","ann149","ann147_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA
"24","A_morph-cf-es","ann154","ann152_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","shoa",NA,NA
"25","A_morph-cf-es","ann159","ann157_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-neti",NA,NA
"26","A_morph-cf-es","ann181","ann179_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","nana",NA,NA
"27","A_morph-cf-es","ann185","ann183_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-neti",NA,NA
"28","A_morph-cf-es","ann196","ann194_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA
"29","A_morph-cf-es","ann201","ann199_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","isha",NA,NA
"30","A_morph-cf-es","ann207","ann205_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","joda",NA,NA
"31","A_morph-cf-es","ann212","ann210_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","wada",NA,NA
"32","A_morph-cf-es","ann217","ann215_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA
"33","A_morph-cf-es","ann229","ann227_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dona",NA,NA
"34","A_morph-cf-es","ann233","ann231_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","na",NA,NA
"35","A_morph-cf-es","ann237","ann235_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-ta",NA,NA
"36","A_morph-cf-es","ann241","ann239_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-ani",NA,NA
"37","A_morph-cf-es","ann246","ann244_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA
"38","A_morph-cf-es","ann256","ann254_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","corriente",NA,NA
"39","A_morph-cf-es","ann261","ann259_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA
"40","A_morph-cf-es","ann288","ann286_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","bime",NA,NA
"41","A_morph-cf-es","ann295","ann293_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","pona",NA,NA
"42","A_morph-cf-es","ann301","ann299_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA
"43","A_morph-cf-es","ann306","ann304_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","e-",NA,NA
"44","A_morph-cf-es","ann310","ann308_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","shoa",NA,NA
"45","A_morph-cf-es","ann314","ann312_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","beneje",NA,NA
"46","A_morph-cf-es","ann320","ann318_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","bime",NA,NA
"47","A_morph-cf-es","ann348","ann346_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","sicha",NA,NA
"48","A_morph-cf-es","ann353","ann351_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","beneje",NA,NA
"49","A_morph-cf-es","ann359","ann357_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","sicha",NA,NA
"50","A_morph-cf-es","ann363","ann361_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-e",NA,NA
"51","A_morph-cf-es","ann369","ann367_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","jai",NA,NA
"52","A_morph-cf-es","ann375","ann373_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA
"53","A_morph-cf-es","ann507","ann505_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipa",NA,NA
"54","A_morph-cf-es","ann512","ann510_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","yama",NA,NA
