"","TIER_ID","ANNOTATION_ID","VALUE","t0.id","t0","t1.id","t1","filename","atype","ANNOTATION_REF","PREVIOUS_ANNOTATION","EXT_REF"
"1","A_phrase-segnum-es","ann2_flexid_3298e52a-f080-45f6-99cd-49fb7fb92b5d","1","ts2",88925,"ts3",92295,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"2","A_phrase-segnum-es","ann43_flexid_8917b95a-aa84-4df9-91da-aacd14870692","2","ts4",94335,"ts5",95625,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"3","A_phrase-segnum-es","ann65_flexid_c0ccf440-e0b1-4dca-8c70-b74fd10b8d70","3","ts6",96511,"ts7",97793,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"4","A_phrase-segnum-es","ann84_flexid_9ab057b1-8095-45ad-b736-1b8b07766892","4","ts8",98858,"ts9",101714,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"5","A_phrase-segnum-es","ann99_flexid_7fff1064-dd90-4ba2-94f4-072d2ed0191a","5","ts10",102814,"ts11",105436,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"6","A_phrase-segnum-es","ann135_flexid_21f8069e-9521-403b-8bd1-cc3a1b65f4ad","6","ts12",108093,"ts13",111143,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"7","A_phrase-segnum-es","ann172_flexid_a5b0d9e6-7a8a-4f07-a9d2-21b736cc1d08","8","ts15",111847,"ts17",112872,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"8","A_phrase-segnum-es","ann188_flexid_6317f645-6f1a-4443-befd-2bf5a6caef8d","9","ts18",116776,"ts19",120744,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"9","A_phrase-segnum-es","ann220_flexid_ab41e2fe-a384-49ff-88b2-833879c36dfd","10","ts20",121587,"ts21",124466,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"10","A_phrase-segnum-es","ann248_flexid_44cf28ea-aad9-4ec2-8a07-f945fa467c61","11","ts22",128691,"ts23",129716,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"11","A_phrase-segnum-es","ann279_flexid_3a40110e-54ae-46a7-9d2d-7dd57522ff0e","13","ts26",134947,"ts27",139566,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"12","A_phrase-segnum-es","ann340_flexid_4e746f94-76df-45c8-8678-148c6aed2cca","15","ts29",140646,"ts31",144129,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"13","A_phrase-segnum-es","ann499_flexid_fd5b520c-08f5-4fe5-ad2b-27da1fd74e9c","19","ts38",160980,"ts39",163353,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"14","A_phrase-segnum-es","ann530_flexid_0582a6d4-35b5-4b6a-8d89-f69a1b9793d4","20","ts40",164240,"ts41",165410,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"15","A_phrase-segnum-es","ann541_flexid_36e8e0e9-005a-4d17-9bb7-a752a4252c3f","21","ts42",171727,"ts43",172854,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"16","A_phrase-segnum-es","ann573_flexid_bc908071-0cf3-434a-8943-87da3f00e5ba","23","ts46",179846,"ts47",181998,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"17","A_phrase-segnum-es","ann595_flexid_d19aa8da-70a0-493f-803e-ce0cfb55fc31","24","ts48",199663,"ts49",201468,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"18","A_phrase-segnum-es","ann634_flexid_903428b8-d78a-48ef-b2c7-a6ebd1688f4e","25","ts50",206061,"ts51",208213,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"19","A_phrase-segnum-es","ann655_flexid_e13d0c41-f1e5-4d21-aab3-451573a530e0","26","ts52",210701,"ts53",213676,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"20","A_phrase-segnum-es","ann682_flexid_2a07d31b-0c8b-4005-80d8-871406a7deb2","27","ts54",218158,"ts55",220845,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"21","A_phrase-segnum-es","ann726_flexid_1bb4ae8b-1839-4758-bf7c-dcfa3bb87152","28","ts56",221750,"ts57",225004,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"22","A_phrase-segnum-es","ann755_flexid_e17a0778-a7da-4050-8c83-9a630eebd9d7","29","ts58",235991,"ts59",242195,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"23","A_phrase-segnum-es","ann789_flexid_63d72c64-e0b3-46bb-8a13-9243141fad9b","30","ts60",242600,"ts61",248196,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"24","A_phrase-segnum-es","ann850_flexid_44b0615d-5c85-43de-a42d-23a1866b8b41","31","ts62",249427,"ts63",252860,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"25","A_phrase-segnum-es","ann908_flexid_b045fdd4-3613-4c1e-9c19-8a8d2c116f3b","33","ts65",254486,"ts67",255444,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
